case_no,cluster_file,opinion_file,date,judges,citation_id,reporter_number,is_clean
115204,TRUE,TRUE,11/15/1993,,99563,510 U.S. 981,FALSE
106300,TRUE,TRUE,11/13/1961,Douglas,90683,368 U.S. 52,FALSE
89375,TRUE,TRUE,12/11/1876,Field,59739,93 U.S. 274,FALSE
116663,TRUE,TRUE,1/24/1994,,101022,510 U.S. 1100,FALSE
110928,TRUE,TRUE,5/16/1983,Marshall,95287,461 U.S. 402,FALSE
106302,TRUE,TRUE,11/20/1961,Harlan,90685,368 U.S. 57,FALSE
137047,TRUE,TRUE,6/14/2004,,121400,542 U.S. 905,FALSE
137046,TRUE,TRUE,6/14/2004,,121399,542 U.S. 905,FALSE
116666,TRUE,TRUE,1/24/1994,,101025,510 U.S. 1100,FALSE
137045,TRUE,TRUE,6/14/2004,,121398,542 U.S. 905,FALSE
106305,TRUE,TRUE,12/4/1961,Per Curiam,90688,368 U.S. 139,FALSE
103549,TRUE,TRUE,11/10/1941,Reed,87932,314 U.S. 44,FALSE
103548,TRUE,TRUE,11/10/1941,Roberts,87931,314 U.S. 33,FALSE
127479,TRUE,TRUE,2/24/2003,,111832,537 U.S. 1215,FALSE
113994,TRUE,TRUE,10/4/1993,,98353,510 U.S. 885,FALSE
131538,TRUE,TRUE,10/6/2003,,115891,540 U.S. 831,FALSE
127473,TRUE,TRUE,2/24/2003,,111826,537 U.S. 1215,FALSE
127472,TRUE,TRUE,2/24/2003,,111825,537 U.S. 1215,FALSE
127471,TRUE,TRUE,2/24/2003,,111824,537 U.S. 1215,FALSE
103542,TRUE,TRUE,6/2/1941,Reed,87925,313 U.S. 487,FALSE
103545,TRUE,TRUE,11/10/1941,Stone,87928,314 U.S. 1,FALSE
103544,TRUE,TRUE,6/2/1941,Douglas,87927,313 U.S. 508,FALSE
127475,TRUE,TRUE,2/24/2003,,111828,537 U.S. 1215,FALSE
103546,TRUE,TRUE,11/10/1941,Stone,87929,314 U.S. 14,FALSE
120128,TRUE,TRUE,4/29/2002,,104481,535 U.S. 1036,FALSE
102818,TRUE,TRUE,4/26/1937,Butler,87201,301 U.S. 206,FALSE
113991,TRUE,TRUE,10/4/1993,,98350,510 U.S. 885,FALSE
102819,TRUE,TRUE,4/26/1937,Stone,87202,301 U.S. 216,FALSE
120120,TRUE,TRUE,4/29/2002,,104473,535 U.S. 1036,FALSE
120121,TRUE,TRUE,4/29/2002,,104474,535 U.S. 1036,FALSE
120122,TRUE,TRUE,4/29/2002,,104475,535 U.S. 1036,FALSE
120123,TRUE,TRUE,4/29/2002,,104476,535 U.S. 1036,FALSE
120124,TRUE,TRUE,4/29/2002,,104477,535 U.S. 1036,FALSE
120125,TRUE,TRUE,4/29/2002,,104478,535 U.S. 1036,FALSE
120126,TRUE,TRUE,4/29/2002,,104479,535 U.S. 1036,FALSE
120127,TRUE,TRUE,4/29/2002,,104480,535 U.S. 1036,FALSE
88396,TRUE,TRUE,11/13/1871,Swayne,58145,79 U.S. 323,FALSE
88391,TRUE,TRUE,11/13/1871,Clifford,58139,79 U.S. 285,FALSE
88392,TRUE,TRUE,11/13/1871,Davis,58140,79 U.S. 304,FALSE
88399,TRUE,TRUE,11/27/1871,,58149,79 U.S. 358,FALSE
102193,TRUE,TRUE,1/15/1934,McReynolds,86576,291 U.S. 183,FALSE
97152,TRUE,TRUE,1/31/1910,White After Making the Foregoing Statement,81535,216 U.S. 78,FALSE
97151,TRUE,TRUE,1/31/1910,Harlan,81534,216 U.S. 56,FALSE
113998,TRUE,TRUE,10/4/1993,,98357,510 U.S. 885,FALSE
97155,TRUE,TRUE,2/21/1910,Fuller After Making the Foregoing Statement,81538,216 U.S. 102,FALSE
97154,TRUE,TRUE,1/31/1910,Holmes,81537,216 U.S. 92,FALSE
142425,TRUE,TRUE,2/22/2005,,126777,543 U.S. 1163,FALSE
136795,TRUE,TRUE,6/1/2004,,121148,541 U.S. 1081,FALSE
89377,TRUE,TRUE,12/18/1876,Waite,59742,93 U.S. 289,FALSE
142427,TRUE,TRUE,2/22/2005,,126779,543 U.S. 1163,FALSE
114071,TRUE,TRUE,10/4/1993,,98430,510 U.S. 891,FALSE
132274,TRUE,TRUE,10/6/2003,,116627,540 U.S. 886,FALSE
91134,TRUE,TRUE,4/21/1884,Waite,75514,111 U.S. 488,FALSE
130461,TRUE,TRUE,6/16/2003,,114814,539 U.S. 925,FALSE
132273,TRUE,TRUE,10/6/2003,,116626,540 U.S. 886,FALSE
114073,TRUE,TRUE,10/4/1993,,98432,510 U.S. 891,FALSE
136791,TRUE,TRUE,6/1/2004,,121144,541 U.S. 1080,FALSE
88022,TRUE,TRUE,2/18/1869,Clifford,57298,74 U.S. 392,FALSE
88020,TRUE,TRUE,1/11/1869,Nelson,57292,74 U.S. 364,FALSE
136792,TRUE,TRUE,6/1/2004,,121145,541 U.S. 1080,FALSE
88024,TRUE,TRUE,4/12/1869,Davis,57304,74 U.S. 425,FALSE
114075,TRUE,TRUE,10/4/1993,,98434,510 U.S. 891,FALSE
88028,TRUE,TRUE,4/12/1869,Nelson,57313,74 U.S. 463,FALSE
101358,TRUE,TRUE,1/2/1929,Sutherland,85741,278 U.S. 255,FALSE
130465,TRUE,TRUE,6/16/2003,,114818,539 U.S. 926,FALSE
100016,TRUE,TRUE,5/29/1922,Clarke,84399,259 U.S. 326,FALSE
100012,TRUE,TRUE,5/29/1922,Brandeis,84395,259 U.S. 296,FALSE
100013,TRUE,TRUE,5/29/1922,Brandeis,84396,259 U.S. 304,FALSE
100010,TRUE,TRUE,5/29/1922,Brandeis,84393,259 U.S. 276,FALSE
100011,TRUE,TRUE,5/29/1922,Brandeis,84394,259 U.S. 285,FALSE
119865,TRUE,TRUE,4/22/2002,,104218,535 U.S. 1016,FALSE
119864,TRUE,TRUE,4/22/2002,,104217,535 U.S. 1016,FALSE
119867,TRUE,TRUE,4/22/2002,,104220,535 U.S. 1016,FALSE
119861,TRUE,TRUE,4/22/2002,,104214,535 U.S. 1016,FALSE
119860,TRUE,TRUE,4/22/2002,,104213,535 U.S. 1016,FALSE
119863,TRUE,TRUE,4/22/2002,,104216,535 U.S. 1016,FALSE
119862,TRUE,TRUE,4/22/2002,,104215,535 U.S. 1016,FALSE
111274,TRUE,TRUE,7/23/1984,,95633,468 U.S. 1303,FALSE
95797,TRUE,TRUE,2/23/1903,Brewer After Making the Foregoing Statement,80180,188 U.S. 505,FALSE
95796,TRUE,TRUE,2/23/1903,Brewer After Making the Foregoing Statement,80179,188 U.S. 491,FALSE
